Reporting-starts,Reporting-ends,Ad-name,Age,Gender,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 11,25-34,female,3011,130,0.12,4.32%,,,16.16
2025-01-01,2026-01-01,FB — 11,25-34,male,243,5,0.31,2.06%,,,1.56
2025-01-01,2026-01-01,FB — 11,25-34,unknown,6,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 11,35-44,female,929,19,0.26,2.05%,,,4.85
2025-01-01,2026-01-01,FB — 11,35-44,male,176,8,0.17,4.55%,,,1.39
2025-01-01,2026-01-01,FB — 11,35-44,unknown,2,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 11,45-54,female,46,3,0.13,6.52%,,,0.38
2025-01-01,2026-01-01,FB — 11,45-54,male,200,8,0.22,4.00%,,,1.72
2025-01-01,2026-01-01,FB — 11,45-54,unknown,5,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 11,55-64,female,100,5,0.17,5.00%,,,0.86
2025-01-01,2026-01-01,FB — 11,55-64,male,525,28,0.17,5.33%,,,4.67
2025-01-01,2026-01-01,FB — 11,55-64,unknown,16,1,0.10,6.25%,,,0.1
2025-01-01,2026-01-01,FB — 11,65+,female,375,32,0.14,8.53%,,,4.49
2025-01-01,2026-01-01,FB — 11,65+,male,1367,66,0.22,4.83%,,,14.26
2025-01-01,2026-01-01,FB — 11,65+,unknown,37,5,0.10,13.51%,,,0.48
2025-01-01,2026-01-01,FB — 12,18-24,female,94,4,0.12,4.26%,,,0.47
2025-01-01,2026-01-01,FB — 12,18-24,male,43,0,0.00,0.00%,,,0.37
2025-01-01,2026-01-01,FB — 12,18-24,unknown,2,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 12,25-34,female,74,1,0.27,1.35%,,,0.27
2025-01-01,2026-01-01,FB — 12,25-34,male,73,2,0.14,2.74%,,,0.27
2025-01-01,2026-01-01,FB — 12,25-34,unknown,2,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 12,35-44,female,44,1,0.09,2.27%,,,0.09
2025-01-01,2026-01-01,FB — 12,35-44,male,66,1,0.35,1.52%,,,0.35
2025-01-01,2026-01-01,FB — 12,45-54,female,12,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 12,45-54,male,24,1,0.09,4.17%,,,0.09
2025-01-01,2026-01-01,FB — 12,45-54,unknown,3,1,0.05,33.33%,,,0.05
2025-01-01,2026-01-01,FB — 12,55-64,female,15,0,0.00,0.00%,,,0.19
2025-01-01,2026-01-01,FB — 12,55-64,male,45,1,0.26,2.22%,,,0.26
2025-01-01,2026-01-01,FB — 12,55-64,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 12,65+,female,43,1,0.23,2.33%,,,0.23
2025-01-01,2026-01-01,FB — 12,65+,male,66,3,0.14,4.55%,,,0.43
2025-01-01,2026-01-01,FB — 12,65+,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 13,18-24,female,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 13,18-24,male,25,1,0.11,4.00%,,,0.11
2025-01-01,2026-01-01,FB — 13,25-34,female,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 13,25-34,male,19,0,0.00,0.00%,,,0.06
2025-01-01,2026-01-01,FB — 13,35-44,female,2,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 13,35-44,male,21,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 13,45-54,female,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 13,45-54,male,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 13,55-64,female,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 13,55-64,male,2,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 13,65+,female,4,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 13,65+,male,7,0,0.00,0.00%,,,0.03
