Reporting-starts,Reporting-ends,Ad-name,Platform,Placement,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,INST — 13,Instagram,Explore home,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 14,Instagram,Feed,19982,441,0.07,2.21%,12,,28.95
2025-01-01,2026-01-01,INST — 14,Instagram,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 14,Instagram,Explore,644,6,0.08,0.93%,,,0.47
2025-01-01,2026-01-01,INST — 15,Instagram,Instagram Reels,8,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 15,Instagram,Instagram Stories,1797,32,0.06,1.78%,,,2.03
2025-01-01,2026-01-01,INST — 15,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 15,Instagram,Instagram Reels,3,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 15,Instagram,Instagram Stories,1166,16,0.11,1.37%,,,1.74
2025-01-01,2026-01-01,INST — 16,Instagram,Instagram Reels,759,32,0.03,4.22%,4,,0.95
2025-01-01,2026-01-01,INST — 16,Instagram,Instagram Stories,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 16,Instagram,Instagram Stories,16452,227,0.07,1.38%,3,,15.19
2025-01-01,2026-01-01,INST — 16,Instagram,Instagram Stories,2,1,0.00,50.00%,,,0.00
2025-01-01,2026-01-01,INST — 13,Instagram,Feed,18,2,0.04,11.11%,,,0.08
2025-01-01,2026-01-01,INST — 13,Instagram,Feed,17024,443,0.08,2.60%,5,,36.36
2025-01-01,2026-01-01,INST — 13,Instagram,Feed,48,4,0.03,8.33%,,,0.13
2025-01-01,2026-01-01,INST — 13,Instagram,Explore,451,7,0.03,1.55%,,,0.24
2025-01-01,2026-01-01,INST — 13,Instagram,Explore home,46,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,INST — 17,Instagram,Instagram Reels,364,6,0.05,1.65%,,,0.28
2025-01-01,2026-01-01,INST — 17,Instagram,Instagram Stories,6805,128,0.07,1.88%,,,9.34
2025-01-01,2026-01-01,INST — 18,Instagram,Instagram Reels,748,5,0.11,0.67%,,,0.57
2025-01-01,2026-01-01,INST — 18,Instagram,Instagram Stories,6172,138,0.06,2.24%,,,8.68
2025-01-01,2026-01-01,FB — 6,Facebook,Business Explore,9,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,Facebook,Facebook profile feed,187,9,0.01,4.81%,,,0.13
2025-01-01,2026-01-01,FB — 6,Facebook,Facebook Reels,155642,"1,872",0.07,1.20%,79,,126.24
2025-01-01,2026-01-01,FB — 6,Facebook,Ads on Facebook Reels,78,0,0.00,0.00%,,,0.06
2025-01-01,2026-01-01,FB — 6,Facebook,Facebook Stories,13807,156,0.12,1.13%,6,,19.35
2025-01-01,2026-01-01,FB — 6,Facebook,Feed,2,0,0.00,0.00%,,,0.33
2025-01-01,2026-01-01,FB — 6,Facebook,Feed,27515,"1,267",0.03,4.60%,63,,33.32
2025-01-01,2026-01-01,FB — 6,Facebook,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,Facebook,In-stream reels,10,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,Facebook,In-stream reels,12690,567,0.03,4.47%,12,,18.34
2025-01-01,2026-01-01,FB — 6,Facebook,Search results,4,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,Facebook,Feed: video feeds,138,12,0.03,8.70%,1,,0.34
2025-01-01,2026-01-01,FB — 6,Instagram,Feed,9708,164,0.21,1.69%,7,,33.87
2025-01-01,2026-01-01,FB — 6,Instagram,Explore,33,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 6,Instagram,Instagram Reels,35,3,0.01,8.57%,,,0.03
2025-01-01,2026-01-01,FB — 6,Instagram,Instagram search results,1,1,0.00,100.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,Instagram,Instagram Stories,78320,451,0.13,0.58%,18,,60.88
2025-01-01,2026-01-01,FB — 6,Messenger,Messenger Stories,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 7,Facebook,Business Explore,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 7,Facebook,Facebook profile feed,23,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 7,Facebook,Facebook Reels,27928,212,0.07,0.76%,3,,15.84
2025-01-01,2026-01-01,FB — 7,Facebook,Ads on Facebook Reels,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 7,Facebook,Facebook Stories,7155,50,0.15,0.70%,,,7.32
2025-01-01,2026-01-01,FB — 7,Facebook,Feed,2447,61,0.04,2.49%,,,2.36
2025-01-01,2026-01-01,FB — 7,Facebook,In-stream reels,14,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 7,Facebook,In-stream reels,14792,605,0.03,4.09%,14,,20.10
2025-01-01,2026-01-01,FB — 7,Facebook,Feed: video feeds,22,3,0.02,13.64%,,,0.07
2025-01-01,2026-01-01,FB — 7,Instagram,Feed,4220,41,0.25,0.97%,,,10.29
2025-01-01,2026-01-01,FB — 7,Instagram,Explore,18,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 7,Instagram,Instagram Reels,77,1,0.11,1.30%,,,0.11
2025-01-01,2026-01-01,FB — 7,Instagram,Instagram Stories,63805,331,0.16,0.52%,3,,53.72
2025-01-01,2026-01-01,INST — 19,Instagram,Feed,77,1,0.18,1.30%,,,0.18
2025-01-01,2026-01-01,INST — 19,Instagram,Feed,3599,11,0.28,0.31%,,,3.09
2025-01-01,2026-01-01,INST — 20,Instagram,Instagram Reels,5185,44,0.04,0.85%,,,1.89
2025-01-01,2026-01-01,INST — 20,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 20,Instagram,Instagram Stories,34944,270,0.05,0.77%,3,,14.26
2025-01-01,2026-01-01,INST — 20,Instagram,Instagram Stories,4,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 21,Instagram,Instagram Stories,7,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 21,Instagram,Instagram Stories,29300,183,0.08,0.62%,2,,15.52
2025-01-01,2026-01-01,INST — 21,Instagram,Instagram Stories,96,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,INST — 22,Instagram,Feed,23540,377,0.05,1.60%,4,,19.86
2025-01-01,2026-01-01,INST — 22,Instagram,Feed,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 23,Instagram,Instagram Reels,8563,62,0.10,0.72%,1,,6.43
2025-01-01,2026-01-01,INST — 23,Instagram,Instagram Stories,11086,103,0.09,0.93%,,,8.80
2025-01-01,2026-01-01,INST — 24,Instagram,Instagram Reels,8176,114,0.11,1.39%,1,,12.05
2025-01-01,2026-01-01,INST — 24,Instagram,Instagram Stories,6103,66,0.11,1.08%,,,7.13
2025-01-01,2026-01-01,FB — 8,Facebook,Facebook Reels,20,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 8,Facebook,Ads on Facebook Reels,33,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 8,Facebook,Feed,7,0,0.00,0.00%,,,0.06
2025-01-01,2026-01-01,FB — 8,Facebook,Feed,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 8,Facebook,In-stream reels,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 8,Instagram,Feed,3,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 8,Instagram,Explore home,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 8,Instagram,Instagram Reels,25,0,0.00,0.00%,,,0.10
2025-01-01,2026-01-01,FB — 8,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 8,Messenger,Messenger Stories,40,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 9,Facebook,Business Explore,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 9,Facebook,Facebook profile feed,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 9,Facebook,Facebook Reels,157,7,0.13,4.46%,,,0.88
2025-01-01,2026-01-01,FB — 9,Facebook,Ads on Facebook Reels,137,0,0.00,0.00%,,,0.16
2025-01-01,2026-01-01,FB — 9,Facebook,Facebook Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 9,Facebook,Feed,2,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 9,Facebook,Feed,97,7,0.17,7.22%,,,1.16
2025-01-01,2026-01-01,FB — 9,Facebook,Feed,10,0,0.00,0.00%,,,0.10
2025-01-01,2026-01-01,FB — 9,Facebook,In-stream reels,5,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 9,Facebook,In-stream reels,7,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 9,Instagram,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 9,Instagram,Feed,34,2,0.14,5.88%,,,0.28
2025-01-01,2026-01-01,FB — 9,Instagram,Feed,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 9,Instagram,Instagram Reels,251,7,0.17,2.79%,,,1.19
2025-01-01,2026-01-01,FB — 9,Instagram,Instagram Stories,18,2,0.10,11.11%,,,0.19
2025-01-01,2026-01-01,FB — 9,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 9,Messenger,Messenger Stories,19,0,0.00,0.00%,,,0.20
2025-01-01,2026-01-01,FB — 9,Threads,Threads feed,5,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 10,Facebook,Facebook Reels,389,7,0.36,1.80%,,,2.51
2025-01-01,2026-01-01,FB — 10,Facebook,Ads on Facebook Reels,180,0,0.00,0.00%,,,0.23
2025-01-01,2026-01-01,FB — 10,Facebook,Facebook Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 10,Facebook,Feed,89,6,0.10,6.74%,,,0.58
