Reporting-starts,Reporting-ends,Ad-name,Country,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,INST — 25,PH,3280,84,0.07,2.56%,1,,6.05
2025-01-01,2026-01-01,INST — 25,US,119,2,0.47,1.68%,,,0.93
2025-01-01,2026-01-01,INST — 26,KE,389,2,0.24,0.51%,,,0.48
2025-01-01,2026-01-01,INST — 26,PH,1230,6,0.25,0.49%,,,1.49
2025-01-01,2026-01-01,INST — 26,US,218,2,0.93,0.92%,,,1.85
2025-01-01,2026-01-01,INST — 27,KE,513,2,0.23,0.39%,,,0.46
2025-01-01,2026-01-01,INST — 27,PH,6246,87,0.07,1.39%,,,6.14
2025-01-01,2026-01-01,INST — 27,US,327,5,0.42,1.53%,,,2.08
2025-01-01,2026-01-01,INST — 28,KE,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 28,PH,650,9,0.03,1.38%,,,0.24
2025-01-01,2026-01-01,INST — 28,US,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 3,US,435,8,0.42,1.84%,1,,3.33
2025-01-01,2026-01-01,INST — 4,US,239,1,1.99,0.42%,1,,1.99
2025-01-01,2026-01-01,INST — 5,CA,2019,83,0.17,4.11%,2,,13.88
2025-01-01,2026-01-01,INST — 6,BR,47379,660,0.06,1.39%,15,,37.06
2025-01-01,2026-01-01,INST — 6,CL,2167,63,0.03,2.91%,1,,1.88
2025-01-01,2026-01-01,INST — 6,MX,2838,250,0.02,8.81%,3,,3.94
2025-01-01,2026-01-01,INST — 6,PE,6386,605,0.01,9.47%,7,,9.04
2025-01-01,2026-01-01,INST — 6,unknown,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 7,BR,9103,439,0.03,4.82%,19,,12.18
2025-01-01,2026-01-01,INST — 7,CL,581,22,0.03,3.79%,1,,0.66
2025-01-01,2026-01-01,INST — 7,MX,477,18,0.03,3.77%,,,0.50
2025-01-01,2026-01-01,INST — 7,PE,2929,149,0.03,5.09%,,,4.09
2025-01-01,2026-01-01,INST — 8,CA,699,36,0.15,5.15%,1,,5.36
2025-01-01,2026-01-01,INST — 9,BR,10851,133,0.06,1.23%,2,,8.19
2025-01-01,2026-01-01,INST — 9,CL,2695,52,0.07,1.93%,,,3.75
2025-01-01,2026-01-01,INST — 9,MX,1215,17,0.07,1.40%,,,1.12
2025-01-01,2026-01-01,INST — 9,PE,763,8,0.09,1.05%,,,0.68
,,,,,,,,1996,,
